-1,0
-3,0
-1,0
1,0
-4,0
-3,0
-4,0
-4,0
-4,0
-2,0
-5,0
-2,0
0,0
-2,0
-1,0
-2,0
-1,0
-20,176
-56,384
-85,384
-111,392
-122,384
-159,392
-117,384
-33,384
-15,392
31,384
37,392
68,384
75,392
102,384
111,384
160,392
75,384
57,392
-2,384
-16,384
-55,392
-56,384
-81,392
-92,384
-129,392
-150,384
-103,384
-73,392
-11,384
30,392
44,384
68,392
77,384
109,384
119,392
160,392
137,384
43,392
26,384
-25,384
-57,392
-80,384
-111,392
-129,384
-156,392
-119,392
-36,384
-20,392
30,384
34,392
65,384
77,392
102,384
107,392
163,384
81,392
57,384
-3,392
-22,384
-52,392
-58,384
-84,392
-97,384
-134,392
-150,384
-98,392
-74,384
-14,392
31,384
43,392
66,384
77,384
105,392
118,384
160,392
140,392
48,384
24,392
-22,384
-55,392
-82,384
-115,392
-128,384
-153,392
-123,392
-34,384
-19,392
26,384
36,392
68,384
77,392
-106,160
-2,152
-2,24
