-1,440
-14,448
-50,440
-59,448
-79,440
91,304
22,480
-32,488
-39,488
-62,488
-75,488
-82,488
-105,488
-17,488
37,480
45,488
68,488
74,488
89,488
99,480
62,488
34,488
-30,488
-38,488
-65,480
-77,488
-111,488
-45,488
-16,488
31,488
42,480
65,488
69,488
87,488
94,480
74,488
42,488
-22,488
-38,480
-63,488
-73,488
-78,488
-112,480
-97,488
-5,488
11,480
55,488
57,488
71,488
79,480
109,488
47,488
-19,480
-52,488
-60,488
-79,480
-80,488
-114,488
-101,488
-9,488
5,480
49,488
54,488
71,488
73,488
102,480
53,488
24,488
-27,488
-45,488
-63,480
-65,488
-85,488
-96,488
-79,480
-43,488
22,488
39,488
60,488
71,480
76,488
110,488
103,488
8,480
-8,488
-48,488
-57,480
-71,488
-78,488
-105,488
-58,480
17,488
50,488
