-43,312
-60,304
-66,312
-76,312
-90,312
-34,312
-4,312
43,312
-13,264
-63,232
-2,216
8,208
49,216
82,216
95,216
125,216
144,208
208,216
194,216
85,216
60,216
0,208
-13,216
-54,216
-88,216
-122,216
-170,216
-194,208
-138,216
-108,216
-30,216
-17,216
31,208
45,216
74,216
88,216
118,216
136,208
198,216
134,216
105,216
33,216
16,216
-37,208
-41,216
-81,216
-86,216
-125,216
-135,216
-203,208
-206,216
-96,216
-28,216
-9,208
37,216
46,216
79,216
88,216
127,216
139,208
203,216
205,216
94,216
22,216
-22,216
-61,216
-73,208
-107,216
-109,216
-162,216
-183,208
-154,216
-118,216
-40,216
-22,216
23,208
37,216
75,216
104,216
117,216
165,208
184,216
152,216
114,216
33,208
19,216
-33,216
-42,216
-77,208
-84,216
-120,216
-169,216
-194,208
-142,216
-111,216
-36,216
-17,208
33,216
16,24
-5,96
0,16
-4,0
1,0
